"","Banks$Tone"
"502",NA
"503",NA
"504",-0.6
"505",NA
"506",NA
"507",0
"508",NA
"509",NA
"510",NA
"511",NA
"512",NA
"513",NA
"514",NA
"515",NA
"516",NA
"517",NA
"518",NA
"519",1
"520",NA
"521",NA
"522",NA
"523",NA
"524",NA
"525",1
"526",NA
"527",NA
"528",NA
"529",1
"530",NA
"531",NA
"532",NA
"533",NA
"534",NA
"535",1
"536",-1
"537",NA
"538",NA
"539",0
"540",NA
"541",NA
"542",NA
"543",NA
"544",NA
"545",NA
"546",-1
"547",-1
"548",NA
"549",-0.5
"550",0.333333333333333
"551",1
"552",NA
"553",-1
"554",NA
"555",NA
"556",-1
"557",NA
"558",NA
"559",NA
"560",NA
"561",1
"562",1
"563",1
"564",NA
"565",NA
"566",NA
"567",NA
"568",NA
"569",NA
"570",NA
"571",1
"572",1
"573",1
"574",-1
"575",NA
"576",-1
"577",1
"578",NA
"579",NA
"580",1
"581",NA
"582",-1
"583",1
"584",NA
"585",NA
"586",NA
"587",NA
"588",NA
"589",NA
"590",NA
"591",NA
"592",-1
"593",NA
"594",NA
"595",NA
"596",-1
"597",NA
"598",NA
"599",NA
"600",NA
"601",0.2
"602",NA
"603",0.6
"604",-1
"605",-1
"606",NA
"607",NA
"608",1
"609",NA
"610",1
"611",NA
"612",NA
"613",NA
"614",NA
"615",NA
"616",NA
"617",1
"618",NA
"619",NA
"620",NA
"621",NA
"622",NA
"623",NA
"624",NA
"625",NA
"626",NA
"627",NA
"628",NA
"629",1
"630",NA
"631",0
"632",NA
"633",NA
"634",NA
"635",1
"636",NA
"637",NA
"638",NA
"639",1
"640",NA
"641",NA
"642",NA
"643",1
"644",1
"645",1
"646",0.2
"647",-0.333333333333333
"648",NA
"649",NA
"650",NA
"651",NA
"652",0.333333333333333
"653",NA
"654",-1
"655",-1
"656",NA
"657",NA
"658",NA
"659",NA
"660",NA
"661",NA
"662",1
"663",NA
"664",1
"665",1
"666",NA
"667",NA
"668",NA
"669",NA
"670",NA
"671",NA
"672",-1
"673",1
